Mode,DominantFreq_Hz,EnergyRatio,SignalCorrelation,EventCorrelation,EventEnergyRatio,ArtifactEnergyRatio,SpectralEntropy,Kurtosis,TemporalContinuity,PhysioKeepScore,Selected
1,7.775082415892465e-05,0.7132983312080325,0.8747688903550149,0.20786366461068628,0.08504328450333255,0.029323259593284162,0.3083650644889492,5.740914356432124,0.9998865760351657,0.38619659418375735,True
2,0.009796603844024506,0.054246021631654616,0.37069918942025576,0.5717652516935091,0.2924421506401094,0.05147005880781298,0.5970376510798705,7.010503944863605,0.9876743951664115,0.36746832879417957,True
3,0.03172233625684126,0.04657346188120296,0.32165390355706913,0.7956455695992777,0.3242061668396418,0.05757395414623804,0.6056928773449671,8.361233718305845,0.9482488339918147,0.4010438110672863,True
4,0.0507712881757778,0.027566376376713216,0.2519301889514693,0.7728344194361101,0.26632680870239767,0.061188898528217864,0.6312206687202642,11.465029439504018,0.8541904032027077,0.32296186049576653,True
5,0.08848043789285626,0.016386932185345628,0.19755425790887687,0.5324826891325493,0.19176612091216985,0.04841451493430472,0.6696521355437944,10.289696625685156,0.7040504134442902,0.21870349998260216,True
6,0.13862971947536265,0.005527751109082435,0.1303499297677616,0.27189600696741434,0.1549272186308849,0.033129965240441935,0.6958393793949962,16.591745738273175,0.5219497678455564,0.056994822649504465,False
