Time,PH,Temperature,Pressure_Raw,Pressure_RangeFixed,Pressure_Preclean,Pressure_Clean,Baseline,Residual,LocalNoiseSigma,RangeAbnormalMask,ArtifactMask,PhysioEventMask,QualityFlag
70263.2,9.221,37.192,102.529,102.529,102.529,102.54167199999989,102.31,0.23167199999988952,0.1168917512872695,False,False,False,good
70264.4,9.156680000000156,37.122880000000166,102.45124000000018,102.45124000000018,102.45124000000018,102.42167200000031,102.31383999999998,0.10783200000032878,0.14356194099794203,False,False,False,good
70265.59999999999,9.277279999999376,37.08688000000017,102.32104000000065,102.32104000000065,102.32104000000065,102.33371200000045,102.31767999999998,0.016032000000464564,0.12200773107466505,False,False,False,good
70266.79999999999,9.05128000000188,37.20015999999908,102.26512000000035,102.26512000000035,102.26512000000035,102.27731200000018,102.32899999999991,-0.05168799999972862,0.10112446932005553,False,False,False,good
70267.99999999999,9.019,37.216,102.26235999999997,102.26235999999997,102.26235999999997,102.2146617142866,102.32000000000012,-0.10533828571351478,0.11659821146320815,False,False,False,good
70269.19999999998,9.288599999996077,37.09120000000182,102.14940000000165,102.14940000000165,102.14940000000165,102.21389142857095,102.31480000000003,-0.1009085714290876,0.10032771836972626,False,False,False,good
70270.39999999998,9.356,37.17855999999782,102.31935999999635,102.31935999999635,102.31935999999635,102.27228228571326,102.31096000000005,-0.03867771428679134,0.11412409009052948,False,False,False,good
70271.59999999998,9.356,37.216,102.4129599999993,102.4129599999993,102.4129599999993,102.43175199999695,102.31287999999994,0.11887199999701181,0.10456307868547855,False,False,False,good
70272.79999999997,9.356,37.19152000000067,102.62015999999466,102.62015999999466,102.62015999999466,102.65160342856618,102.31671999999992,0.33488342856625763,0.11315960209778513,False,False,False,good
70273.99999999997,9.269600000002828,37.11088000000227,102.91167999999347,102.91167999999347,102.91167999999347,102.8760399999959,102.32599999999974,0.5500399999961587,0.13580410279546826,False,False,False,good
70275.19999999997,9.221,37.15839999999665,102.89140000000515,102.89140000000515,102.89140000000515,102.87307085714602,102.33799999999971,0.5350708571463088,0.1534793936180976,False,False,False,good
70276.39999999997,9.221,37.209280000000305,102.57900000001024,102.57900000001024,102.57900000001024,102.57691559184813,102.34691999999981,0.22999559184832208,0.1857687742418813,False,False,False,good
70277.59999999996,9.11679365080002,37.2101904761901,102.20800000001192,102.20800000001192,102.20800000001192,102.23467863946404,102.3536111111109,-0.11893247164685761,0.2092303273982962,False,False,False,good
70278.79999999996,9.176801587289633,37.14857142857654,102.03623809523725,102.03623809523725,102.03623809523725,102.03406453333827,102.36144841269808,-0.3273838793598145,0.21176801578500748,False,False,False,good
70279.99999999996,9.356,37.077047619047214,102.0103015873047,102.0103015873047,102.0103015873047,102.01176046076586,102.37049603174572,-0.3587355709798601,0.21132704042606684,False,False,False,good
70281.19999999995,9.356,37.12911999999592,102.10213599998687,102.10213599998687,102.10213599998687,102.1311286421747,102.3771279999999,-0.24599935782519822,0.21071965927121528,False,False,False,good
70282.39999999995,9.311000000005198,37.16400000000462,102.26666666667549,102.26666666667549,102.26666666667549,102.19117707755052,102.3799999999999,-0.1888229224493756,0.21071965927121528,False,False,False,good
70283.59999999995,9.163285714294712,37.128571428564484,102.1205714285704,102.1205714285704,102.1205714285704,102.1820510367354,102.38499999999954,-0.20294896326413436,0.22359946786716578,False,False,False,good
70284.79999999994,9.019,37.234240000001066,102.16123999999553,102.16123999999553,102.16123999999553,102.16117306122752,102.39501999999955,-0.23384693877203233,0.25579898936407053,False,False,False,good
70285.99999999994,9.086399999984307,37.187200000006705,102.1688000000161,102.1688000000161,102.1688000000161,102.09064816326925,102.4051999999995,-0.3145518367302458,0.2507668780990665,False,False,False,good
70287.19999999994,9.356,37.09503999999296,101.92415999999017,101.92415999999017,101.92415999999017,102.02174057142528,102.41575999999947,-0.3940194285741825,0.2304706959910344,False,False,False,good
70288.39999999994,9.315560000017262,37.216,102.11999999998848,102.11999999998848,102.11999999998848,102.10448914284919,102.42637999999941,-0.3218908571502226,0.22443216247375614,False,False,False,good
