Mode,DominantFreq_Hz,EnergyRatio,SignalCorrelation,EventCorrelation,EventEnergyRatio,ArtifactEnergyRatio,SpectralEntropy,Kurtosis,TemporalContinuity,PhysioKeepScore,Selected
1,7.377242681793151e-05,0.5225308239064956,0.7613950240218853,0.013247090634621284,0.1110284193704348,0.04554240767598804,0.23030200791674704,2.835581278218737,0.999813693279387,0.32007749316821305,True
2,0.01954969310675185,0.0910212180755258,0.4470400538485131,0.5359928327633483,0.3159390599908517,0.05696696768783068,0.5732086803532065,4.173130607100027,0.9830153505450087,0.3504723437127256,True
3,0.027443342776270523,0.09079961933050286,0.43791230911165246,0.6454083608008047,0.31789631536145596,0.05446800752477692,0.5710622748613168,4.480868086736107,0.952893270932276,0.36163706794193734,True
4,0.046329084041660994,0.05661167679486667,0.3493878333441458,0.524577668955244,0.2641431643970345,0.06653982614259335,0.600756105454618,4.693934058809565,0.888099936570503,0.27596355907253506,True
5,0.07259206798884461,0.026722293099807472,0.25069708009771596,0.4487576504394249,0.2276409894599782,0.05374886360637477,0.6382035565408859,5.4174169930494465,0.7789682618712844,0.18634836087965806,True
6,0.10608474976418551,0.011351414709597314,0.17532519631639476,0.27687411692896624,0.21625528629312443,0.037508208301677164,0.6760639452622866,4.908496721851451,0.6193852947855476,0.11145523847382532,False
