Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_RQA_LAM,event_guided,fixed,171,110,0.8889926916777307,0.9010672789840796,0.8927870461236505,0.9084421867440733,0.053546333889814494,0.050215700158193405,-0.012074587306348916,-0.23100245693549426,-0.14731525784157362,0.0372368510204314,0.0564634965914473,0.29214732377355007,0.14731525784157362,0.23100245693549426
VMD_Mode3_SampEn,event_guided,fixed,171,110,0.49772895023199204,0.4761870107623078,0.5225890889041347,0.49993411701716617,0.09377622669140803,0.10539943787977642,0.021541939469684246,0.21874294842485797,0.12737905369484318,0.07168092141490595,0.0824481168110648,0.3003771945005583,0.12737905369484318,0.21874294842485797
VMD_Mode3_PS_LogVolume,event_guided,fixed,171,110,-1.433734803060225,-1.1211508577491793,-1.5336772284428493,-1.3022075590456532,1.4769442289063301,1.7343875644080458,-0.3125839453110457,-0.19752350522557233,-0.10983519404572036,0.12043134187025714,0.12008122068857398,0.35326526948608766,0.10983519404572036,0.19752350522557233
VMD_Mode4_SampEn,event_guided,fixed,171,110,0.5384226711702204,0.5256205499627751,0.5705166237483038,0.5491081692445512,0.09201023901298055,0.09497819555548713,0.012802121207445283,0.13738980088711678,0.09984051036682616,0.15807311978219563,0.2654597157811475,0.36920515575065455,0.09984051036682616,0.13738980088711678
VMD_Mode3_RQA_DET,event_guided,fixed,171,110,0.9922942839656304,0.9918523903208903,0.9931506849315066,0.9926238145416225,0.00364402420529703,0.003893902885865146,0.00044189364474001014,0.11803872633004184,0.09851143009037745,0.16362501220767645,0.34217742550186725,0.36920515575065455,0.09851143009037745,0.11803872633004184
VMD_Mode3_RQA_LAM,event_guided,fixed,171,110,0.9744089339643659,0.9760873961333072,0.9749999999999998,0.9771883994942893,0.010251547779133577,0.010144680696890878,-0.001678462168941297,-0.1643950715016722,-0.09718234981392876,0.16944548104871782,0.17892821320403424,0.3727800583071792,0.09718234981392876,0.1643950715016722
VMD_Mode4_HFD,event_guided,fixed,171,110,1.2547535629433844,1.2584124119011297,1.2515903541625846,1.2566750122261743,0.02222987828988975,0.023459891951622427,-0.0036588489577453753,-0.16105258962074356,-0.08920786815523658,0.207246324398776,0.19414738737997803,0.43321148691276057,0.08920786815523658,0.16105258962074356
VMD_Mode4_PS_LogVolume,event_guided,fixed,171,110,-1.657326288903672,-1.4405071166048562,-2.146660207588508,-1.8635603755197176,1.6983469958691626,1.659652054918284,-0.21681917229881575,-0.12880330357368155,-0.08740031897926635,0.21660574345638028,0.29062197013775504,0.43321148691276057,0.08740031897926635,0.12880330357368155
VMD_Mode3_HFD,event_guided,fixed,171,110,1.1035023296478028,1.1053982554441908,1.1025978718168654,1.1023278690901455,0.011019464469678327,0.01266922406301462,-0.001895925796387976,-0.16215949455011527,-0.0735778841041999,0.29830581901965114,0.1994296226388162,0.525018241474586,0.0735778841041999,0.16215949455011527
VMD_Mode3_ApproxLLE,event_guided,fixed,171,110,0.05878562347159556,0.05735426022098487,0.05715409894598644,0.05696154058331848,0.014030440018802942,0.01541539017016385,0.00143136325061069,0.0981247884698594,0.06794258373205742,0.33687558962861597,0.4323929578935909,0.5593406016475133,0.06794258373205742,0.0981247884698594
VMD_Mode4_RQA_DET,event_guided,fixed,171,110,0.9821280273142305,0.9813732841556222,0.9830672472181904,0.9827075098814227,0.005867919305382369,0.0073616214470290636,0.0007547431586083508,0.1162482368126672,0.03652312599681021,0.6058961153748934,0.3660708689415162,0.7656995721929386,0.03652312599681021,0.1162482368126672
VMD_Mode4_ApproxLLE,event_guided,fixed,171,110,0.08244088514799891,0.08312877051275368,0.08347536768047378,0.0840973327186017,0.013275055794575413,0.0139933222405494,-0.0006878853647547672,-0.05072826855477589,-0.03391812865497076,0.631902760039577,0.6819728628118735,0.7723255956039274,0.03391812865497076,0.05072826855477589
VMD_Mode4_PermEn,event_guided,fixed,171,110,0.962724479656683,0.9619890494863634,0.9583336279552267,0.9590960088530438,0.019286506352333678,0.01807604940030876,0.0007354301703195176,0.03907109403492262,0.029186602870813396,0.6802520344048828,0.7460604773935346,0.7876602503635485,0.029186602870813396,0.03907109403492262
VMD_Mode3_PermEn,event_guided,fixed,171,110,0.9591509490148882,0.9599022225112166,0.9621679101284896,0.9622444629679154,0.019390092383453975,0.020464115184151033,-0.0007512734963284196,-0.03791127892841041,-0.01674641148325359,0.8133231427997618,0.75946487613063,0.8623185128479403,0.01674641148325359,0.03791127892841041
