Time,PH,Temperature,Pressure_Raw,Pressure_RangeFixed,Pressure_Preclean,Pressure_Clean,Baseline,Residual,LocalNoiseSigma,RangeAbnormalMask,ArtifactMask,PhysioEventMask,QualityFlag
628046.0999999036,22.388,36.824,110.23866662889037,110.23866662889037,110.23866662889037,110.18331709715395,110.562,-0.37868290284605166,0.18975252899547598,False,False,False,good
628047.2999999035,22.388,36.824,110.49972725509645,110.49972725509645,110.49972725509645,110.47826365898104,110.583818179713,-0.10555452073197102,0.22215627265870888,False,False,False,good
628048.4999999035,22.388,36.824,110.68399998543602,110.68399998543602,110.68399998543602,110.75121297970887,110.586,0.16521297970886906,0.22539665046423135,False,False,False,good
628049.6999999034,22.40174998672611,36.824,111.06924999686254,111.06924999686254,111.06924999686254,110.96416371171388,110.586,0.3781637117138814,0.21639825663253642,False,False,False,good
628050.8999999034,22.553,36.824,111.14909086647886,111.14909086647886,111.14909086647886,111.26129310830737,110.586,0.6752931083073719,0.22120322440910734,False,False,False,good
628052.0999999034,22.553,36.824,111.64314283145504,111.64314283145504,111.64314283145504,111.59836920280304,110.586,1.0123692028030433,0.2394745719603719,False,False,False,good
628053.2999999033,22.553,36.824,111.9619999742945,111.9619999742945,111.9619999742945,111.97908888802485,110.586,1.3930888880248489,0.3491027102531691,False,False,False,good
628054.4999999033,22.553,36.824,112.03861537843999,112.03861537843999,112.03861537843999,111.97427033017787,110.56384615563181,1.4104241745460655,0.34910271909112767,False,False,False,good
628055.6999999032,22.423357154263677,36.824,111.60657146714625,111.60657146714625,111.60657146714625,111.64176611969167,110.53135714555323,1.110408974138437,0.34910271909112767,False,False,False,good
628056.8999999032,22.388,36.824,111.15014289339213,111.15014289339213,111.15014289339213,111.14335545806674,110.51978571463161,0.6235697434351266,0.34910271909112767,False,False,False,good
628058.0999999031,22.388,36.824,110.74300003045923,110.74300003045923,110.74300003045923,110.74317145406734,110.51300000069226,0.23017145337507827,0.34910271909112767,False,False,False,good
628059.2999999031,22.451461526156717,36.824,110.53799999709159,110.53799999709159,110.53799999709159,110.57155658214444,110.508,0.06355658214444304,0.34910271909112767,False,False,False,good
628060.499999903,22.49800001333392,36.824,110.68599996993807,110.68599996993807,110.68599996993807,110.71490906789623,110.508,0.20690906789623398,0.350849979523841,False,False,False,good
628061.699999903,22.388,36.824,110.94636363336365,110.94636363336365,110.94636363336365,110.86131169211531,110.508,0.3533116921153123,0.35625060394988806,False,False,False,good
628062.8999999029,22.388,36.824,110.74118186222074,110.74118186222074,110.74118186222074,110.74870781433796,110.508,0.2407078143379664,0.36864027054469717,False,False,False,good
628064.0999999029,22.388,36.824,110.48481817925824,110.48481817925824,110.48481817925824,110.50190391490952,110.51345454457181,-0.011550629662295364,0.37950505799096684,False,False,False,good
628065.2999999028,22.388,36.824,110.50383333252351,110.50383333252351,110.50383333252351,110.53496429535316,110.52091666626175,0.014047629091407998,0.40029745929456295,False,False,False,good
