Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode4_RQA_RR,event_guided,fixed,89,89,0.04862703038493593,0.04865712904658435,0.048646500537659544,0.04865132043496681,8.153737310137925e-05,7.267304925140302e-05,-3.0098661648415848e-05,-0.3897150188932493,-0.43441484661027646,4.25987447130655e-09,0.010132748053011113,3.748689534749764e-07,0.43441484661027646,0.3897150188932493
Pressure_Clean_RQA_L_mean,event_guided,fixed,89,89,4.729226234061405,3.4484222753686544,3.7339181286549707,2.7270875763747453,2.877069921370267,1.8229969965690846,1.2808039586927502,0.5318054270141507,0.4230526448680722,1.0996306564643823e-06,0.0005203508328298713,3.642618149921597e-05,0.4230526448680722,0.5318054270141507
Pressure_Clean_RQA_V_mean,event_guided,fixed,89,89,5.725246706781894,4.138606962538956,4.708898944193062,3.2348804500703237,3.062674747136353,2.15720681266238,1.5866397442429374,0.5989768687729208,0.41598283045070067,1.6557355226916352e-06,9.867047607235195e-05,3.642618149921597e-05,0.41598283045070067,0.5989768687729208
Pressure_Clean_RQA_TT,event_guided,fixed,89,89,5.725246706781894,4.138606962538956,4.708898944193062,3.2348804500703237,3.062674747136353,2.15720681266238,1.5866397442429374,0.5989768687729208,0.41598283045070067,1.6557355226916352e-06,9.867047607235195e-05,3.642618149921597e-05,0.41598283045070067,0.5989768687729208
Pressure_Clean_RQA_L_max,event_guided,fixed,89,89,24.8876404494382,17.202247191011235,21.0,13.0,13.828855045492897,11.96698087473963,7.685393258426966,0.594317035038917,0.3998232546395657,4.046680604980943e-06,0.00010755945676037326,7.122157864766459e-05,0.3998232546395657,0.594317035038917
Pressure_Clean_HFD,event_guided,fixed,89,89,1.4422806143898927,1.5547614234508877,1.4114578529822992,1.5921276329992655,0.13125333467975134,0.17046667547362085,-0.112480809060995,-0.7393789424274181,-0.3909859866178513,6.68600437013114e-06,1.967193571436569e-06,9.806139742859006e-05,0.3909859866178513,0.7393789424274181
Pressure_Clean_RQA_DET,event_guided,fixed,89,89,0.7316607403584944,0.6192718942147555,0.7467124070897654,0.6033254156769594,0.15739911947084081,0.1762829563667729,0.1123888461437389,0.6725521817006533,0.3705340234818836,1.9740883869163793e-05,1.3130262479164202e-05,0.0002481711114980591,0.3705340234818836,0.6725521817006533
Pressure_Clean_RQA_LAM,event_guided,fixed,89,89,0.8436467987474576,0.7683455037995304,0.8556317895940535,0.7719714964370544,0.10048386290957102,0.12259836237239322,0.07530129494792726,0.6718061373020157,0.36725160964524683,2.3371013200951973e-05,1.3597332742382703e-05,0.0002570811452104717,0.36725160964524683,0.6718061373020157
Pressure_Clean_PFD,event_guided,fixed,89,89,1.0197685304931972,1.0229603524259587,1.0212750810904,1.0243702588199863,0.005900514908400505,0.005736100932935077,-0.0031918219327615738,-0.5485277564439435,-0.35374321424062616,4.6063965096415384e-05,0.0003343124858531542,0.00045040321427606157,0.35374321424062616,0.5485277564439435
Pressure_Clean_SampEn,event_guided,fixed,89,89,0.3113445753045144,0.5218661160117236,0.27435854375369434,0.4388019077026993,0.16783727276927135,0.37379095651815414,-0.2105215407072092,-0.7266083402319755,-0.34174977906829945,8.279842742551617e-05,3.7258321160382893e-06,0.0006952356637501921,0.34174977906829945,0.7266083402319755
