InputSignal,Mean_Event_IoU,Mean_PeakPreservationRatio,Mean_AreaPreservationRatio,NumEvents
Pressure_Preclean,0.9908946066224656,0.6855668948232585,0.7837188177136272,82
Pressure_Clean,0.9908946066224656,0.6850384282684546,0.7837865019434263,82
