Mode,DominantFreq_Hz,EnergyRatio,SignalCorrelation,EventCorrelation,EventEnergyRatio,ArtifactEnergyRatio,SpectralEntropy,Kurtosis,TemporalContinuity,PhysioKeepScore,Selected
1,5.1817767276169285e-05,0.6882515226098413,0.857647234869508,0.4869428706523962,0.15935862605895074,0.09816411296474557,0.2772814500356256,5.740568704859702,0.9999498311834868,0.45782698638625624,True
2,0.006269949840416483,0.08216394759519857,0.3992557650896901,0.31216084043130937,0.34608598788110695,0.11836410880453234,0.5788179333966873,17.861682011536526,0.993886932395971,0.25385502886391614,True
3,0.021970733325095776,0.06096416891277283,0.3301541159793176,0.747192062321997,0.39454697586110105,0.1442139645489468,0.6010908018602138,22.23241437644377,0.9661939052721675,0.3285681093481464,True
4,0.05451229117453009,0.02313243118249975,0.22210243411320832,0.4086894545045438,0.270035302306198,0.14044060713749723,0.6608299757269055,19.971494966540526,0.8667161589643143,0.17997578460827274,False
5,0.0877274799985546,0.018229425519278652,0.1908138064121912,0.29650892770783577,0.19059140447738634,0.08656799100247325,0.6685057364671865,14.01575900790546,0.7050203466660755,0.1453949930459591,False
6,0.11980267794250339,0.008021626638392888,0.14406444220162729,0.2025672169317498,0.17290036895517238,0.06519888223937291,0.7074317038691921,10.158976449651362,0.5473973326284167,0.10355251625506481,False
