EventID,StartTime,EndTime,Duration_s,ReferenceSignal,TargetSignal,Reference_PeakAmplitude,Target_PeakAmplitude,PeakPreservationRatio,Reference_Area,Target_Area,AreaPreservationRatio,ShapeCorrelation,Shape_NRMSE,ArtifactRatioInEvent,RangeAbnormalRatioInEvent
1,47658.42999998097,47663.229999980955,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,1.0547105264327001,1.0547105264327001,0.9999999990518724,3.705210753221593,3.705210753221593,0.9999999997301098,1.0,0.0,0.0,0.0
2,47716.02999998083,47726.8299999808,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.5101913255081314,2.5101913255081314,0.999999999601624,14.163815805580771,14.163815805580771,0.9999999999293976,0.9999999999999999,0.0,0.0,0.0
3,50112.429999975015,50123.22999997499,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.7558421090793246,2.7558421090793246,0.9999999996371345,19.823075166420484,19.823075166420484,0.9999999999495537,1.0,0.0,0.0,0.0
4,50563.62999997392,50569.629999973906,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,1.7315175509759797,1.7315175509759797,0.9999999994224719,7.439152151130065,7.439152151130065,0.9999999998655761,1.0,0.0,0.0,0.0
5,50766.42999997343,50774.82999997341,8.399999999979627,Pressure_RangeFixed,Pressure_Preclean,1.826157891566595,1.826157891566595,0.9999999994524021,8.785111509833934,8.785111509833934,0.999999999886171,1.0,0.0,0.0,0.0
6,51151.629999972494,51157.62999997248,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,1.4740000000000038,1.4740000000000038,0.9999999993215739,4.331724980183278,4.331724980183278,0.9999999997691451,1.0,0.0,0.0,0.0
7,51592.029999971426,51596.829999971415,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,1.0806140335584047,1.0806140335584047,0.9999999990746001,3.7897870960246904,3.7897870960246904,0.999999999736133,0.9999999999999999,0.0,0.0,0.0
8,51733.62999997108,51740.829999971065,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,2.5055739324382955,2.5055739324382955,0.9999999996008898,14.976142317508678,14.976142317508678,0.9999999999332271,1.0,0.0,0.0,0.0
9,52056.4299999703,52067.229999970274,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,2.5756724842821512,2.5756724842821512,0.9999999996117519,24.00361733867728,24.00361733867728,0.9999999999583397,1.0,0.0,0.0,0.0
10,52109.22999997017,52116.429999970154,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,2.5273304372220053,2.5273304372220053,0.9999999996043255,13.525560796016405,13.525560796016405,0.9999999999260659,1.0,0.0,0.0,0.0
