Role,K,alpha,min_keep_score,RMSE,RMSE_Norm,Correlation,Mean_Event_IoU,Mean_PeakPreservationRatio,Mean_AreaPreservationRatio,NumEvents,NumSelectedModes,SelectedModes,ObjectiveScore
Reconstruction-optimal baseline,3,1500,0.18,0.28117860388714944,0.016573708314533562,0.9888831932692299,0.9944220305604505,0.791107485724005,0.854812713885169,82,3,"[1, 2, 3]",0.9388498072921404
Dynamics-oriented main setting,6,1500,0.18,0.4164913802492132,0.024549544511353976,0.9743795235024947,0.9927037730656442,0.7539334787664574,0.8587795108737518,82,4,"[1, 2, 3, 4]",0.9279051978069455
Legacy/reference setting,5,2700,0.18,0.4541325356861013,0.026768253624382312,0.9698272068144602,0.9908946066224656,0.6850384282684546,0.7837865019434263,82,3,"[1, 2, 3]",0.9042673991537948
