Scheme,SelectedModes,RMSE,Correlation,Mean_Event_IoU,Mean_PeakPreservationRatio,Mean_AreaPreservationRatio,NumEvents
A,Mode 1–3,0.45413253568610124,0.9698272068144603,0.9908946066224656,0.6850384282684576,0.7837865019434297,82
B,Mode 1–2,0.586600363624799,0.9487883983284247,0.9856684196738023,0.5194753573026724,0.6129790752451383,82
