Time,PH,Temperature,Pressure_Raw,Pressure_RangeFixed,Pressure_Preclean,Pressure_Clean,Baseline,Residual,LocalNoiseSigma,RangeAbnormalMask,ArtifactMask,PhysioEventMask,QualityFlag
105697.0,12.588,36.609,113.774,113.774,113.774,113.79515180533703,113.9905,-0.19534819466296938,0.05975632128587125,False,False,False,good
105698.2,12.588,36.609,114.0001538461528,114.0001538461528,114.0001538461528,113.96494149659834,114.01680769230758,-0.05186619570923767,0.08152987964903576,False,False,False,good
105699.4,12.588,36.609,114.07635714285692,114.07635714285692,114.07635714285692,114.05508335949747,114.02057142857143,0.03451193092604399,0.10105407966820232,False,False,False,good
105700.59999999999,12.588,36.609,114.00200000000079,114.00200000000079,114.00200000000079,114.03260276865996,114.0223846153846,0.010218153275360464,0.10370665205619024,False,False,False,good
105701.79999999999,12.588,36.609,114.02466666666591,114.02466666666591,114.02466666666591,114.0213048855905,114.02433333333332,-0.003028447742821072,0.0943520862409436,False,False,False,good
105702.99999999999,12.588,36.609,114.03490909090951,114.03490909090951,114.03490909090951,114.02110584415603,114.02645454545451,-0.005348701298487413,0.09320842458937781,False,False,False,good
105704.19999999998,12.588,36.609,113.9625000000013,113.9625000000013,113.9625000000013,113.96957272727374,114.02550000000004,-0.05592727272629361,0.09749715578213812,False,False,False,good
105705.39999999998,12.588,36.609,113.89825000000087,113.89825000000087,113.89825000000087,113.87677077922243,114.02350000000003,-0.1467292207776012,0.11269832523182963,False,False,False,good
105706.59999999998,12.645272727271127,36.609,113.85045454545549,113.85045454545549,113.85045454545549,113.92517132866934,114.02136363636369,-0.09619230769435205,0.13285536183768412,False,False,False,good
105707.79999999997,12.599666666668222,36.609,114.07799999999374,114.07799999999374,114.07799999999374,113.96261793206776,114.01933333333338,-0.05671540126562036,0.17559971605829974,False,False,False,good
105708.99999999997,12.588,36.609,113.96807692308185,113.96807692308185,113.96807692308185,114.07351268730883,113.99707692307761,0.07643576423122056,0.18346238991275268,False,False,False,good
105710.19999999997,12.588,36.609,114.25399999998847,114.25399999998847,114.25399999998847,114.20826153845879,113.97217857142921,0.23608296702957432,0.2522046241715612,False,False,False,good
