Mode,DominantFreq_Hz,EnergyRatio,SignalCorrelation,EventCorrelation,EventEnergyRatio,ArtifactEnergyRatio,SpectralEntropy,Kurtosis,TemporalContinuity,PhysioKeepScore,Selected
1,3.8409537857930995e-05,0.78991355739832,0.905005171514862,0.14210609534140003,0.10288092410191974,0.02642176599008767,0.21670204795516748,1.7981947047504088,0.9999428570355766,0.38913277115477385,True
2,0.014672443461729641,0.06014333086457623,0.3312725044391954,0.6143477145912392,0.30932489721660567,0.03277264446747291,0.6075434868709594,7.046201685009489,0.9856946367307428,0.37451023524622135,True
3,0.0301130776806179,0.0358362873769501,0.26889554081815004,0.7314474857288153,0.2385924617582963,0.03334795967265313,0.6253452842417396,7.143471026406295,0.9442239732119527,0.36830469377029507,True
4,0.05907386922549787,0.017492643701550677,0.19897174452938904,0.6154204144180709,0.18031077513676674,0.025229133509217634,0.6603771075159163,8.311974599449945,0.8477882047313304,0.29106809022574137,True
5,0.09056969026900129,0.007868057662635247,0.14593175418239018,0.3357391993754725,0.1446418371024391,0.026788500134376794,0.7060899179514797,7.198486846650332,0.6712691217698747,0.1691384738112091,False
6,0.38171398723211825,0.00021244322800787225,0.030760873500890587,0.09425451308677105,0.32694168279127417,0.015451240639009794,0.7384484022266425,44.60571298905751,0.20314703877141263,-0.028078684828809153,False
