Feature,MethodA,MethodB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,MeanDiff_A_minus_B,CohenD,CliffsDelta,MannWhitney_p,TTest_p,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Mode3_PS_LogVolume,event_guided,fixed,55,55,-0.9109431986375263,-0.18814378513013308,-1.1704067661841404,-0.5794933184304434,1.5551564345277495,1.7096187945499672,-0.7227994135073932,-0.4422918941255523,-0.26016528925619836,0.01880313959810633,0.022271647984636392,0.09733389909607981,0.26016528925619836,0.4422918941255523
VMD_Mode4_RQA_DET,event_guided,fixed,55,55,0.9645866260028978,0.9582292011130549,0.9656470588235292,0.9620853080568719,0.012997094527282756,0.016077225679950343,0.006357424889842922,0.43488871438892807,0.23471074380165288,0.03405703765369166,0.02462379803267182,0.14985096567624331,0.23471074380165288,0.43488871438892807
VMD_Mode3_RQA_LAM,event_guided,fixed,55,55,0.9488336977723598,0.9572993932596973,0.9525816649104318,0.9619071644803227,0.024452580950500222,0.018822511982209012,-0.008465695487337443,-0.38798057110622786,-0.19239669421487604,0.08244669619980789,0.04450351829921831,0.24184364218610316,0.19239669421487604,0.38798057110622786
VMD_Mode3_RQA_DET,event_guided,fixed,55,55,0.9844302250969291,0.9820561469406285,0.9852796859666337,0.9828456104944499,0.005503325860902968,0.008357666008151762,0.002374078156300641,0.3355153072381638,0.18380165289256198,0.09709568436454387,0.08177380334322981,0.26701313200249566,0.18380165289256198,0.3355153072381638
VMD_Mode3_SampEn,event_guided,fixed,55,55,0.5235459692015797,0.4984979077054402,0.5408347540178801,0.521043251276768,0.08666812217598795,0.09237272340531746,0.025048061496139473,0.2796608432603021,0.16429752066115702,0.13818604522332334,0.14541500757617115,0.35550219761475715,0.16429752066115702,0.2796608432603021
VMD_Mode3_ApproxLLE,event_guided,fixed,55,55,0.06928848341315529,0.06622162273391362,0.07098359022790775,0.0643027956414741,0.01411083727169747,0.014635389337790301,0.0030668606792416675,0.21333931926710492,0.15636363636363637,0.15829114283095913,0.2657276619246995,0.357169758182677,0.15636363636363637,0.21333931926710492
VMD_Mode4_ApproxLLE,event_guided,fixed,55,55,0.10312319358317744,0.10084305674112358,0.10245003534517932,0.099342700295958,0.009083587058327822,0.012199463270922787,0.0022801368420538592,0.21200787428284312,0.14314049586776859,0.1966068394204583,0.26890444317523704,0.42198541143903245,0.14314049586776859,0.21200787428284312
VMD_Mode3_PermEn,event_guided,fixed,55,55,0.9683986027341857,0.9710118561134733,0.9699979819122072,0.9722864542772536,0.015755296974465167,0.017675866235579804,-0.002613253379287639,-0.15607902795818748,-0.10909090909090909,0.325407133003746,0.41490600080598294,0.5846272563319627,0.10909090909090909,0.15607902795818748
VMD_Mode4_PS_LogVolume,event_guided,fixed,55,55,-1.2965048128693595,-1.158820545462678,-1.28706502872829,-1.2802850694966004,1.226699254324991,1.1263025407160392,-0.13768426740668138,-0.11692223130452316,-0.08165289256198346,0.462149602604651,0.5410786689680528,0.7214466169912855,0.08165289256198346,0.11692223130452316
VMD_Mode4_HFD,event_guided,fixed,55,55,1.5568087908127692,1.556845272474053,1.5465096313862656,1.5500217243851149,0.036866403715375334,0.026800987688289528,-3.6481661283671585e-05,-0.0011319492678637873,-0.04,0.7198279830498742,0.995275782992546,0.904926607262699,0.04,0.0011319492678637873
VMD_Mode4_RQA_LAM,event_guided,fixed,55,55,0.7984762110218739,0.7952503899435607,0.8110588235294116,0.8028436018957344,0.09103657267885922,0.08517913239896018,0.0032258210783132624,0.036591976100589785,0.02512396694214876,0.8226161185413305,0.8481903289734811,0.9280797234825269,0.02512396694214876,0.036591976100589785
VMD_Mode4_SampEn,event_guided,fixed,55,55,0.5244206816779462,0.5332059132272753,0.5467891371976451,0.551417364224122,0.10141956284167603,0.09066153951220977,-0.008785231549329087,-0.09133105481426503,-0.01884297520661157,0.8670647195303378,0.6329587440471661,0.9589476139946648,0.01884297520661157,0.09133105481426503
VMD_Mode3_HFD,event_guided,fixed,55,55,1.1739505079636068,1.1734980432186137,1.175018701006738,1.1745272455726916,0.016131196159135965,0.015082002085331883,0.000452464744993053,0.028975521238368624,0.0036363636363636364,0.976154202951907,0.8795119934898824,0.9904604880997888,0.0036363636363636364,0.028975521238368624
VMD_Mode4_PermEn,event_guided,fixed,55,55,0.9613213333893464,0.962282708917235,0.9614861321146899,0.9615327459803613,0.008291724116173486,0.008458809923380252,-0.0009613755278885527,-0.1147817378114871,0.0023140495867768596,0.985691126035928,0.5484891019366513,0.9904604880997888,0.0023140495867768596,0.1147817378114871
