window_id,method,start_idx,end_idx,start_time,end_time,center_time,event_id,event_start_time,event_end_time,num_points,event_coverage
1,fixed,0,300,78921.16,79279.95999999913,79100.55999999956,,,,300,0.09666666666666666
2,fixed,100,400,79041.15999999971,79399.95999999884,79220.55999999927,,,,300,0.12666666666666668
3,fixed,200,500,79161.15999999942,79519.95999999855,79340.55999999898,,,,300,0.10333333333333333
4,fixed,300,600,79281.15999999913,79639.95999999826,79460.55999999869,,,,300,0.03
5,fixed,400,700,79401.15999999884,79759.95999999797,79580.5599999984,,,,300,0.0
6,fixed,500,800,79521.15999999855,79879.95999999768,79700.5599999981,,,,300,0.15333333333333332
7,fixed,600,900,79641.15999999826,79999.95999999739,79820.55999999781,,,,300,0.22333333333333333
8,fixed,700,1000,79761.15999999797,80119.9599999971,79940.55999999752,,,,300,0.30333333333333334
9,fixed,800,1100,79881.15999999768,80239.9599999968,80060.55999999723,,,,300,0.15666666666666668
10,fixed,900,1200,80001.15999999738,80359.95999999651,80180.55999999694,,,,300,0.08666666666666667
11,fixed,1000,1300,80121.1599999971,80479.95999999622,80300.55999999665,,,,300,0.043333333333333335
12,fixed,1100,1400,80241.1599999968,80599.95999999593,80420.55999999636,,,,300,0.14
13,fixed,1200,1500,80361.15999999651,80719.95999999564,80540.55999999607,,,,300,0.19666666666666666
14,fixed,1300,1600,80481.15999999622,80839.95999999535,80660.55999999578,,,,300,0.18666666666666668
15,fixed,1400,1700,80601.15999999593,80959.95999999506,80780.55999999549,,,,300,0.11
16,fixed,1500,1800,80721.15999999564,81079.95999999477,80900.5599999952,,,,300,0.07666666666666666
17,fixed,1600,1900,80841.15999999535,81199.95999999448,81020.5599999949,,,,300,0.13333333333333333
18,fixed,1700,2000,80961.15999999506,81319.95999999419,81140.55999999461,,,,300,0.13
19,fixed,1800,2100,81081.15999999476,81439.9599999939,81260.55999999432,,,,300,0.10666666666666667
20,fixed,1900,2200,81201.15999999447,81559.9599999936,81380.55999999403,,,,300,0.023333333333333334
21,fixed,2000,2300,81321.15999999418,81679.95999999331,81500.55999999374,,,,300,0.0
22,fixed,2100,2400,81441.15999999389,81799.95999999302,81620.55999999345,,,,300,0.0
23,fixed,2200,2500,81561.1599999936,81919.95999999273,81740.55999999316,,,,300,0.0
24,fixed,2300,2600,81681.15999999331,82039.95999999244,81860.55999999287,,,,300,0.0
25,fixed,2400,2700,81801.15999999302,82159.95999999215,81980.55999999258,,,,300,0.0
26,fixed,2500,2800,81921.15999999273,82279.95999999186,82100.55999999229,,,,300,0.03333333333333333
27,fixed,2600,2900,82041.15999999244,82399.95999999157,82220.559999992,,,,300,0.06
28,fixed,2700,3000,82161.15999999215,82519.95999999128,82340.5599999917,,,,300,0.06
29,fixed,2800,3100,82281.15999999185,82639.95999999098,82460.55999999141,,,,300,0.02666666666666667
30,fixed,2900,3200,82401.15999999156,82759.9599999907,82580.55999999112,,,,300,0.0
31,fixed,3000,3300,82521.15999999127,82879.9599999904,82700.55999999083,,,,300,0.0
32,fixed,3100,3400,82641.15999999098,82999.95999999011,82820.55999999054,,,,300,0.0
33,fixed,3200,3500,82761.15999999069,83119.95999998982,82940.55999999025,,,,300,0.0
34,fixed,3300,3600,82881.1599999904,83239.95999998953,83060.55999998996,,,,300,0.03333333333333333
