Time,PH,Temperature,Pressure_Raw,Pressure_RangeFixed,Pressure_Preclean,Pressure_Clean,Baseline,Residual,LocalNoiseSigma,RangeAbnormalMask,ArtifactMask,PhysioEventMask,QualityFlag
72669.29,8.027,38.087,108.874,108.874,108.874,108.89596521739091,110.035,-1.1390347826090874,0.10169058183735738,False,False,False,good
72670.48999999999,7.974173913043715,38.087,108.89845652173902,108.89845652173902,108.89845652173902,108.86184782608731,110.04021739130432,-1.178369565217011,0.10921140030579636,False,False,False,good
72671.68999999999,7.9213478260874295,38.087,108.92291304347803,108.92291304347803,108.92291304347803,108.900947826087,110.04543478260864,-1.1444869565216322,0.11673221877423534,False,False,False,good
72672.88999999998,7.868521739131145,38.087,108.94736956521706,108.94736956521706,108.94736956521706,108.98973105589926,110.05065217391297,-1.0609211180137095,0.12425303724267432,False,False,False,good
72674.08999999998,7.865,38.117434782608235,109.22808695651749,109.22808695651749,109.22808695651749,109.20925962732585,110.05586956521731,-0.8466099378914578,0.13480497345748035,False,False,False,good
72675.28999999998,7.865,38.150043478260386,109.52710869564775,109.52710869564775,109.52710869564775,109.54775279502587,110.06108695652165,-0.5133341614957772,0.145573418082789,False,False,False,good
72676.48999999998,7.865,38.182652173912544,109.82613043477804,109.82613043477804,109.82613043477804,109.78512173912702,110.066304347826,-0.2811826086989839,0.15634186270809763,False,False,False,good
72677.68999999997,7.865,38.187,109.866,109.866,109.866,109.88137826086832,110.067,-0.18562173913167612,0.1671103073333694,False,False,False,good
72678.88999999997,7.865,38.187,109.866,109.866,109.866,109.87207826086981,110.067,-0.19492173913018007,0.17787875195863548,False,False,False,good
72680.08999999997,7.865,38.187,109.866,109.866,109.866,109.86134347826112,110.067,-0.20565652173887372,0.18864719658390156,False,False,False,good
72681.28999999996,7.865,38.187,109.83495652174028,109.83495652174028,109.83495652174028,109.83628695652254,110.067,-0.2307130434774507,0.18218612980933466,False,False,False,good
72682.48999999996,7.865,38.187,109.79615217391421,109.79615217391421,109.79615217391421,109.81514161490719,110.067,-0.25185838509280245,0.171417685184026,False,False,False,good
72683.68999999996,7.865,38.187,109.75734782608815,109.75734782608815,109.75734782608815,109.72736273292284,110.067,-0.33963726707715125,0.16064924055871732,False,False,False,good
72684.88999999996,7.865,38.157108695653555,109.50476086957644,109.50476086957644,109.50476086957644,109.50975838510203,110.067,-0.5572416148979613,0.16567451471650185,False,False,False,good
72686.08999999995,7.865,38.11634782608852,109.1744347826214,109.1744347826214,109.1744347826214,109.13669699583343,110.067,-0.9303030041665608,0.17644295934176793,False,False,False,good
72687.28999999995,7.865,38.07558695652349,108.84410869566636,108.84410869566636,108.84410869566636,108.91071040690076,110.067,-1.1562895930992312,0.187211403967034,False,False,False,good
72688.48999999995,7.865,38.10281632652784,109.03179591834711,109.03179591834711,109.03179591834711,109.04467930027917,110.067,-1.0223206997208223,0.23170818457508094,False,False,False,good
72689.68999999994,7.865,38.16404081632368,109.47848979589759,109.47848979589759,109.47848979589759,109.43825249078918,110.067,-0.628747509210811,0.2930691331778926,False,False,False,good
72690.88999999994,7.865,38.1946530612239,109.77487755101056,109.77487755101056,109.77487755101056,109.78261107870351,110.067,-0.2843889212964825,0.2883194363244828,False,False,False,good
72692.08999999994,7.865,38.206897959183074,109.98108163264295,109.98108163264295,109.98108163264295,109.97555568512465,110.067,-0.09144431487534632,0.2439033521893872,False,False,False,good
72693.28999999994,7.888048780485732,38.17643089431215,110.067,110.067,110.067,110.0625813411052,110.067,-0.0044186588947923156,0.2561228718614916,False,False,False,good
72694.48999999993,7.927560975607485,38.115455284556354,110.067,110.067,110.067,110.0743644314877,110.067,0.007364431487701495,0.30879639426126604,False,False,False,good
72695.68999999993,7.946,38.087,110.067,110.067,110.067,110.08596944606165,110.067,0.018969446061660733,0.3095518649838845,False,False,False,good
72696.88999999993,7.946,38.087,110.067,110.067,110.067,110.04867358601301,110.067,-0.018326413986983425,0.26487904047807187,False,False,False,good
72698.08999999992,7.946,38.08411020408201,109.8456897959467,109.8456897959467,109.8456897959467,109.80464802960529,110.067,-0.2623519703947039,0.24217035468483175,False,False,False,good
72699.28999999992,7.946,38.078232653061605,109.39556734696767,109.39556734696767,109.39556734696767,109.43134691319861,110.067,-0.6356530868013834,0.24217035468483175,False,False,False,good
72700.48999999992,7.946,38.08860975609553,109.18795121950623,109.18795121950623,109.18795121950623,109.18864280453096,110.06348780487856,-0.8748450003476052,0.2858944922045532,False,False,False,good
